unique_id,Property Address,Floor,Suite,Size (SF),Rent/SF/Year,Associate 1,BROKER Email ID,Associate 2,Associate 3,Associate 4,Annual Rent,Monthly Rent,GCI On 3 Years
30,345 Seventh Avenue,E21,677,13569,$105.00,Davy Jones,test1@okadaco.com,Bran Stark,Mary Cooper,Carlos Sainz,"$1,424,745","$118,729","$256,454"
31,345 Seventh Avenue,E20,1136,18300,$95.00,Bootstrap Bill,test1@okadaco.com,Arya Stark,Meemaw,Carlos Sainz,"$1,738,500","$144,875","$312,930"
32,345 Seventh Avenue,E20,901,16948,$103.00,Elizabeth Swann,test1@okadaco.com,Jon Snow,George Cooper Sr.,Oscar Piastri,"$1,745,644","$145,470","$314,216"
33,345 Seventh Avenue,P18,1802,17575,$81.00,Tia Dalma,test1@okadaco.com,Daenerys Targaryen,Missy Cooper,Oscar Piastri,"$1,423,575","$118,631","$256,244"
34,345 Seventh Avenue,P16,1602,16469,$94.00,Jack Sparrow,test1@okadaco.com,Arya Stark,Georgie Cooper,Max Verstappen,"$1,548,086","$129,007","$278,655"
35,345 Seventh Avenue,P15,1500,17177,$106.00,Davy Jones,test1@okadaco.com,Jon Snow,Georgie Cooper,Sergio Perez,"$1,820,762","$151,730","$327,737"
36,345 Seventh Avenue,P14,1403,18591,$100.00,Tia Dalma,test1@okadaco.com,Cersei Lannister,Dr. Linkletter,Daniel Ricciardo,"$1,859,100","$154,925","$334,638"
37,345 Seventh Avenue,P14,1404,11997,$84.00,Davy Jones,test1@okadaco.com,Tyrion Lannister,Dr. Sturgis,Max Verstappen,"$1,007,748","$83,979","$181,395"
38,345 Seventh Avenue,P12,1202,11424,$90.00,Bootstrap Bill,test1@okadaco.com,Arya Stark,Brenda Sparks,Lando Norris,"$1,028,160","$85,680","$185,069"
39,345 Seventh Avenue,P10,1000,18004,$93.00,James Norrington,test1@okadaco.com,Jorah Mormont,Georgie Cooper,Daniel Ricciardo,"$1,674,372","$139,531","$301,387"
40,345 Seventh Avenue,P8,803,9572,$92.00,Bootstrap Bill,test1@okadaco.com,Daenerys Targaryen,Dr. Linkletter,Lewis Hamilton,"$880,624","$73,385","$158,512"
41,345 Seventh Avenue,P8,802,11778,$103.00,James Norrington,test1@okadaco.com,Sansa Stark,Brenda Sparks,Max Verstappen,"$1,213,134","$101,095","$218,364"
42,345 Seventh Avenue,P8,801,12121,$91.00,Joshamee Gibbs,test1@okadaco.com,Sansa Stark,George Cooper Sr.,Lando Norris,"$1,103,011","$91,918","$198,542"
43,345 Seventh Avenue,P6,551,11349,$98.00,Hector Barbossa,test1@okadaco.com,Cersei Lannister,Brenda Sparks,George Russell,"$1,112,202","$92,684","$200,196"
44,345 Seventh Avenue,P5,504,13049,$106.00,James Norrington,test1@okadaco.com,Jon Snow,Pastor Jeff,Lando Norris,"$1,383,194","$115,266","$248,975"
45,345 Seventh Avenue,P4,403,9835,$98.00,Jack Sparrow,test1@okadaco.com,Tyrion Lannister,Sheldon Cooper,Carlos Sainz,"$963,830","$80,319","$173,489"
46,345 Seventh Avenue,P4,402,15359,$108.00,Jack Sparrow,test1@okadaco.com,Daenerys Targaryen,Mary Cooper,Max Verstappen,"$1,658,772","$138,231","$298,579"
47,345 Seventh Avenue,P3,726,14249,$104.00,Will Turner,test1@okadaco.com,Sansa Stark,George Cooper Sr.,Sergio Perez,"$1,481,896","$123,491","$266,741"
48,345 Seventh Avenue,P GRND,B,17796,$103.00,Elizabeth Swann,test1@okadaco.com,The Hound,Missy Cooper,Fernando Alonso,"$1,832,988","$152,749","$329,938"
49,345 Seventh Avenue,PGRND,A,16371,$110.00,Davy Jones,test1@okadaco.com,Arya Stark,Sheldon Cooper,Fernando Alonso,"$1,800,810","$150,068","$324,146"
50,129-133 W 27th St,P8,804,15889,$110.00,Elizabeth Swann,test1@okadaco.com,Bran Stark,Mary Cooper,Sergio Perez,"$1,747,790","$145,649","$314,602"
51,99 University Pl,P2,203,10213,$91.00,Hector Barbossa,test1@okadaco.com,Jon Snow,Dr. Linkletter,Carlos Sainz,"$929,383","$77,449","$167,289"
52,99 University Pl,P2,205/206,15811,$104.00,Hector Barbossa,test1@okadaco.com,Arya Stark,Georgie Cooper,Fernando Alonso,"$1,644,344","$137,029","$295,982"
53,99 University Pl,E4,400,19362,$86.00,James Norrington,test1@okadaco.com,Jorah Mormont,Georgie Cooper,Oscar Piastri,"$1,665,132","$138,761","$299,724"
54,99 University Pl,E6,600,9814,$83.00,Tia Dalma,test1@okadaco.com,Tyrion Lannister,Mary Cooper,Sergio Perez,"$814,562","$67,880","$146,621"
55,99 University Pl,E8,800,15757,$86.00,Davy Jones,test1@okadaco.com,Jorah Mormont,Pastor Jeff,Charles Leclerc,"$1,355,102","$112,925","$243,918"
56,99 University Pl,E10,1000,9125,$92.00,James Norrington,test1@okadaco.com,Arya Stark,Dr. Sturgis,Fernando Alonso,"$839,500","$69,958","$151,110"
57,552 Seventh Ave,E5,500,10829,$91.00,Cutler Beckett,test1@okadaco.com,Arya Stark,Dr. Sturgis,Max Verstappen,"$985,439","$82,120","$177,379"
58,9 Times Sq,E2,200,10092,$91.00,James Norrington,test1@okadaco.com,Jon Snow,Dr. Sturgis,Lewis Hamilton,"$918,372","$76,531","$165,307"
59,9 Times Sq,E3,300,13391,$88.00,Tia Dalma,test1@okadaco.com,The Hound,Georgie Cooper,Oscar Piastri,"$1,178,408","$98,201","$212,113"
60,9 Times Sq,P3,3C,18890,$94.00,Cutler Beckett,test1@okadaco.com,Arya Stark,Pastor Jeff,Carlos Sainz,"$1,775,660","$147,972","$319,619"
61,9 Times Sq,P3,3A,14188,$101.00,Joshamee Gibbs,test1@okadaco.com,Sansa Stark,Sheldon Cooper,Sergio Perez,"$1,432,988","$119,416","$257,938"
62,9 Times Sq,P3,3B,9740,$100.00,Will Turner,test1@okadaco.com,Sansa Stark,Brenda Sparks,Lando Norris,"$974,000","$81,167","$175,320"
63,9 Times Sq,P4,405,12282,$99.00,Jack Sparrow,test1@okadaco.com,Tyrion Lannister,Pastor Jeff,Charles Leclerc,"$1,215,918","$101,327","$218,865"
64,9 Times Sq,E7,700,17855,$98.00,Jack Sparrow,test1@okadaco.com,The Hound,Brenda Sparks,Lando Norris,"$1,749,790","$145,816","$314,962"
65,9 Times Sq,P12,1203,18059,$93.00,Jack Sparrow,test1@okadaco.com,Jorah Mormont,Mary Cooper,Sergio Perez,"$1,679,487","$139,957","$302,308"
66,9 Times Sq,P18,1802,15759,$110.00,Bootstrap Bill,test1@okadaco.com,Jorah Mormont,George Cooper Sr.,Lewis Hamilton,"$1,733,490","$144,458","$312,028"
67,9 Times Sq,P19,1902,12062,$103.00,Joshamee Gibbs,test1@okadaco.com,Bran Stark,Brenda Sparks,Fernando Alonso,"$1,242,386","$103,532","$223,629"
68,9 Times Sq,E20,2000,15209,$109.00,Jack Sparrow,test1@okadaco.com,Jaime Lannister,Georgie Cooper,Carlos Sainz,"$1,657,781","$138,148","$298,401"
69,9 Times Sq,P21,2102,16770,$99.00,Davy Jones,test1@okadaco.com,Jon Snow,Brenda Sparks,George Russell,"$1,660,230","$138,353","$298,841"
70,9 Times Sq,P21,2101,13081,$81.00,Elizabeth Swann,test1@okadaco.com,Daenerys Targaryen,Georgie Cooper,Sergio Perez,"$1,059,561","$88,297","$190,721"
71,145 E 32nd St,P BSMT,BSMT,18494,$89.00,Jack Sparrow,test1@okadaco.com,Jorah Mormont,Georgie Cooper,Carlos Sainz,"$1,645,966","$137,164","$296,274"
72,145 E 32nd St,E GRND,RETL,15635,$109.00,Joshamee Gibbs,test1@okadaco.com,Daenerys Targaryen,Meemaw,Fernando Alonso,"$1,704,215","$142,018","$306,759"
73,145 E 32nd St,E GRND,RETL,15534,$88.00,Tia Dalma,test1@okadaco.com,Jaime Lannister,Dr. Sturgis,Sergio Perez,"$1,366,992","$113,916","$246,059"
74,145 E 32nd St,E MEZZ,MEZZ,11972,$81.00,Davy Jones,test1@okadaco.com,Tyrion Lannister,Missy Cooper,Oscar Piastri,"$969,732","$80,811","$174,552"
75,145 E 32nd St,E11,1100,13375,$85.00,Bootstrap Bill,test1@okadaco.com,Tyrion Lannister,Dr. Linkletter,George Russell,"$1,136,875","$94,740","$204,638"
76,145 E 32nd St,E12,1200,10058,$93.00,Hector Barbossa,test1@okadaco.com,Cersei Lannister,Dr. Sturgis,Carlos Sainz,"$935,394","$77,950","$168,371"
77,173 Elizabeth St,-,1008,10490,$95.00,Jack Sparrow,test1@okadaco.com,Daenerys Targaryen,Pastor Jeff,Lewis Hamilton,"$996,550","$83,046","$179,379"
78,759 Grand St,-,566,18938,$88.00,Cutler Beckett,test1@okadaco.com,Jaime Lannister,Brenda Sparks,Lewis Hamilton,"$1,666,544","$138,879","$299,978"
79,340 Lexington Ave,-,1077,13539,$90.00,James Norrington,test1@okadaco.com,Jaime Lannister,Dr. Sturgis,Daniel Ricciardo,"$1,218,510","$101,543","$219,332"
80,3 E 17th St,-,540,17812,$97.00,Hector Barbossa,test1@okadaco.com,Cersei Lannister,Pastor Jeff,George Russell,"$1,727,764","$143,980","$310,998"
81,53 E 34th St,-,516,12989,$110.00,Joshamee Gibbs,test1@okadaco.com,Sansa Stark,George Cooper Sr.,Max Verstappen,"$1,428,790","$119,066","$257,182"
82,206 W 23rd St,-,588,10418,$93.00,Elizabeth Swann,test1@okadaco.com,Cersei Lannister,Sheldon Cooper,Charles Leclerc,"$968,874","$80,740","$174,397"
83,226 E 54th St,P5,502,11113,$106.00,Jack Sparrow,test1@okadaco.com,Jorah Mormont,George Cooper Sr.,Charles Leclerc,"$1,177,978","$98,165","$212,036"
84,315 Fifth Ave,P7,703B,16302,$102.00,Bootstrap Bill,test1@okadaco.com,Jaime Lannister,Pastor Jeff,Lando Norris,"$1,662,804","$138,567","$299,305"
85,315 Fifth Ave,P8,800,13415,$103.00,Hector Barbossa,test1@okadaco.com,Jorah Mormont,Missy Cooper,Oscar Piastri,"$1,381,745","$115,145","$248,714"
86,315 Fifth Ave,P9,906,13318,$85.00,Bootstrap Bill,test1@okadaco.com,The Hound,George Cooper Sr.,Sergio Perez,"$1,132,030","$94,336","$203,765"
87,315 Fifth Ave,P9,904,15860,$105.00,Davy Jones,test1@okadaco.com,Bran Stark,Mary Cooper,Oscar Piastri,"$1,665,300","$138,775","$299,754"
88,347 5th Ave,P7,700,14246,$110.00,Elizabeth Swann,test1@okadaco.com,Daenerys Targaryen,Brenda Sparks,Daniel Ricciardo,"$1,567,060","$130,588","$282,071"
89,347 5th Ave,P11,1108,19848,$103.00,Will Turner,test1@okadaco.com,Cersei Lannister,George Cooper Sr.,Fernando Alonso,"$2,044,344","$170,362","$367,982"
90,347 5th Ave,P13,1303,19274,$89.00,Bootstrap Bill,test1@okadaco.com,Arya Stark,Pastor Jeff,Lewis Hamilton,"$1,715,386","$142,949","$308,769"
91,347 5th Ave,P14,1407,17727,$90.00,Will Turner,test1@okadaco.com,Cersei Lannister,Meemaw,Lewis Hamilton,"$1,595,430","$132,953","$287,177"
92,224 W 30th St,P2,204,17423,$83.00,Tia Dalma,test1@okadaco.com,Tyrion Lannister,Brenda Sparks,Max Verstappen,"$1,446,109","$120,509","$260,300"
93,224 W 30th St,P3,308,15592,$92.00,Bootstrap Bill,test1@okadaco.com,Sansa Stark,Pastor Jeff,Daniel Ricciardo,"$1,434,464","$119,539","$258,204"
94,224 W 30th St,P5,501,10773,$96.00,Joshamee Gibbs,test1@okadaco.com,Sansa Stark,Dr. Linkletter,Lewis Hamilton,"$1,034,208","$86,184","$186,157"
95,224 W 30th St,P5,502,19199,$96.00,Elizabeth Swann,test1@okadaco.com,Cersei Lannister,Mary Cooper,Carlos Sainz,"$1,843,104","$153,592","$331,759"
96,224 W 30th St,P6,602,11365,$107.00,Tia Dalma,test1@okadaco.com,Daenerys Targaryen,Pastor Jeff,Lando Norris,"$1,216,055","$101,338","$218,890"
97,224 W 35th St,P2,204,11665,$104.00,Will Turner,test1@okadaco.com,Tyrion Lannister,Brenda Sparks,Lando Norris,"$1,213,160","$101,097","$218,369"
98,224 W 35th St,P7,710B,14598,$103.00,Bootstrap Bill,test1@okadaco.com,Jon Snow,Missy Cooper,Charles Leclerc,"$1,503,594","$125,300","$270,647"
99,224 W 35th St,E13,1300,13574,$102.00,Jack Sparrow,test1@okadaco.com,The Hound,Dr. Linkletter,Oscar Piastri,"$1,384,548","$115,379","$249,219"
100,650 Broadway,E 5,500,17090,$106.00,Davy Jones,test1@okadaco.com,Jaime Lannister,Mary Cooper,Carlos Sainz,"$1,811,540","$150,962","$326,077"
101,1674 Broadway,E3,300,14502,$88.00,Jack Sparrow,test1@okadaco.com,Daenerys Targaryen,George Cooper Sr.,Sergio Perez,"$1,276,176","$106,348","$229,712"
102,1674 Broadway,E6,600,15214,$105.00,Will Turner,test1@okadaco.com,The Hound,George Cooper Sr.,Lando Norris,"$1,597,470","$133,123","$287,545"
103,1674 Broadway,P6,A,19530,$89.00,Davy Jones,test1@okadaco.com,Jon Snow,Dr. Sturgis,Carlos Sainz,"$1,738,170","$144,848","$312,871"
104,1674 Broadway,P6,B,17979,$110.00,Will Turner,test1@okadaco.com,Arya Stark,Missy Cooper,Daniel Ricciardo,"$1,977,690","$164,808","$355,984"
105,1674 Broadway,P6,6A-2,17678,$84.00,Tia Dalma,test1@okadaco.com,Daenerys Targaryen,Dr. Linkletter,Lewis Hamilton,"$1,484,952","$123,746","$267,291"
106,1674 Broadway,P6,6A-1,16103,$84.00,James Norrington,test1@okadaco.com,Sansa Stark,George Cooper Sr.,Oscar Piastri,"$1,352,652","$112,721","$243,477"
107,1674 Broadway,P6,B-2,17136,$91.00,Tia Dalma,test1@okadaco.com,Jorah Mormont,Meemaw,Daniel Ricciardo,"$1,559,376","$129,948","$280,688"
108,1674 Broadway,P6,B-1,11292,$90.00,Tia Dalma,test2@okadaco.com,Arya Stark,Brenda Sparks,Sergio Perez,"$1,016,280","$84,690","$182,930"
109,1674 Broadway,E7,700,10154,$86.00,Davy Jones,test2@okadaco.com,Bran Stark,Dr. Sturgis,Lewis Hamilton,"$873,244","$72,770","$157,184"
110,1674 Broadway,E8,800,9448,$98.00,Jack Sparrow,test2@okadaco.com,Daenerys Targaryen,Dr. Linkletter,Charles Leclerc,"$925,904","$77,159","$166,663"
111,1674 Broadway,E9,900,12631,$83.00,James Norrington,test2@okadaco.com,Jorah Mormont,Dr. Linkletter,Max Verstappen,"$1,048,373","$87,364","$188,707"
112,183 Bowery,-,1073,17206,$96.00,Bootstrap Bill,test2@okadaco.com,Arya Stark,Pastor Jeff,Charles Leclerc,"$1,651,776","$137,648","$297,320"
113,25 E 21st St,E5,500,14870,$103.00,Cutler Beckett,test2@okadaco.com,Bran Stark,Brenda Sparks,Sergio Perez,"$1,531,610","$127,634","$275,690"
114,25 E 21st St,E6,600,12286,$98.00,Cutler Beckett,test2@okadaco.com,Sansa Stark,Sheldon Cooper,Fernando Alonso,"$1,204,028","$100,336","$216,725"
115,25 E 21st St,P9,901,12994,$102.00,Bootstrap Bill,test2@okadaco.com,Bran Stark,Mary Cooper,Carlos Sainz,"$1,325,388","$110,449","$238,570"
116,25 E 21st St,P9,900,17590,$100.00,Elizabeth Swann,test2@okadaco.com,Jon Snow,Brenda Sparks,Lando Norris,"$1,759,000","$146,583","$316,620"
117,25 E 21st St,E10,1000,10614,$104.00,Elizabeth Swann,test2@okadaco.com,Bran Stark,Pastor Jeff,Oscar Piastri,"$1,103,856","$91,988","$198,694"
118,113 University Pl,E6,600,19314,$109.00,Bootstrap Bill,test2@okadaco.com,Jorah Mormont,Meemaw,George Russell,"$2,105,226","$175,436","$378,941"
119,113 University Pl,E7,700,13883,$94.00,Elizabeth Swann,test2@okadaco.com,Jorah Mormont,Sheldon Cooper,Fernando Alonso,"$1,305,002","$108,750","$234,900"
120,155 E 55th St,P2,203,15921,$85.00,Davy Jones,test2@okadaco.com,The Hound,Missy Cooper,Oscar Piastri,"$1,353,285","$112,774","$243,591"
121,155 E 55th St,P3,303A,9325,$101.00,Davy Jones,test2@okadaco.com,Jon Snow,George Cooper Sr.,Carlos Sainz,"$941,825","$78,485","$169,529"
122,155 E 55th St,P3,300A,13794,$83.00,Elizabeth Swann,test2@okadaco.com,Jon Snow,Georgie Cooper,Oscar Piastri,"$1,144,902","$95,409","$206,082"
123,155 E 55th St,P5,5I,18229,$91.00,Davy Jones,test2@okadaco.com,Jorah Mormont,Missy Cooper,Lando Norris,"$1,658,839","$138,237","$298,591"
124,155 E 55th St,P5,5J,10407,$107.00,Joshamee Gibbs,test2@okadaco.com,Jon Snow,Missy Cooper,Fernando Alonso,"$1,113,549","$92,796","$200,439"
125,155 E 55th St,P6,6H,15238,$90.00,James Norrington,test2@okadaco.com,Jaime Lannister,Georgie Cooper,Max Verstappen,"$1,371,420","$114,285","$246,856"
126,155 E 55th St,P6,6K,12906,$83.00,Tia Dalma,test2@okadaco.com,Cersei Lannister,Mary Cooper,George Russell,"$1,071,198","$89,267","$192,816"
127,155 E 55th St,P6,6A,16931,$92.00,Tia Dalma,test2@okadaco.com,Daenerys Targaryen,Dr. Sturgis,Charles Leclerc,"$1,557,652","$129,804","$280,377"
128,19 W 21st St,P8,803,13613,$95.00,Will Turner,test2@okadaco.com,Arya Stark,Dr. Linkletter,Fernando Alonso,"$1,293,235","$107,770","$232,782"
129,19 W 21st St,P8,905,12342,$87.00,Cutler Beckett,test2@okadaco.com,Arya Stark,Meemaw,Daniel Ricciardo,"$1,073,754","$89,480","$193,276"
130,121-127 W 27th St,P5,501,19651,$91.00,Cutler Beckett,test2@okadaco.com,Arya Stark,Georgie Cooper,Max Verstappen,"$1,788,241","$149,020","$321,883"
131,121-127 W 27th St,P7,702,14618,$82.00,Joshamee Gibbs,test2@okadaco.com,Sansa Stark,Dr. Sturgis,Max Verstappen,"$1,198,676","$99,890","$215,762"
132,124 W 36th St,E2,200,15008,$81.00,Cutler Beckett,test2@okadaco.com,Sansa Stark,Pastor Jeff,Charles Leclerc,"$1,215,648","$101,304","$218,817"
133,124 W 36th St,E3,300,11226,$105.00,Joshamee Gibbs,test2@okadaco.com,Tyrion Lannister,Sheldon Cooper,Sergio Perez,"$1,178,730","$98,228","$212,171"
134,124 W 36th St,E7,700,10489,$95.00,Jack Sparrow,test2@okadaco.com,Daenerys Targaryen,Pastor Jeff,Lando Norris,"$996,455","$83,038","$179,362"
135,301 E Houston St,E1,100,9351,$101.00,Cutler Beckett,test2@okadaco.com,Bran Stark,Sheldon Cooper,Max Verstappen,"$944,451","$78,704","$170,001"
136,365-369 Seventh Ave,P2,201,14539,$95.00,Bootstrap Bill,test2@okadaco.com,Jaime Lannister,Dr. Sturgis,Lewis Hamilton,"$1,381,205","$115,100","$248,617"
137,365-369 Seventh Ave,P3,301,11567,$94.00,Will Turner,test2@okadaco.com,The Hound,George Cooper Sr.,George Russell,"$1,087,298","$90,608","$195,714"
138,135 W 36th St,E6,600,14029,$108.00,Cutler Beckett,test2@okadaco.com,Bran Stark,George Cooper Sr.,Lando Norris,"$1,515,132","$126,261","$272,724"
139,135 W 36th St,E9,900,14066,$100.00,Hector Barbossa,test2@okadaco.com,Jaime Lannister,Brenda Sparks,Lando Norris,"$1,406,600","$117,217","$253,188"
140,135 W 36th St,E13,1300,12483,$80.00,Davy Jones,test2@okadaco.com,Bran Stark,Georgie Cooper,Carlos Sainz,"$998,640","$83,220","$179,755"
141,135 W 36th St,P17,17N,19918,$99.00,Bootstrap Bill,test2@okadaco.com,Jon Snow,Sheldon Cooper,Carlos Sainz,"$1,971,882","$164,324","$354,939"
142,269 W 39th St,-,810,13507,$103.00,Tia Dalma,test2@okadaco.com,Jon Snow,Dr. Linkletter,Oscar Piastri,"$1,391,221","$115,935","$250,420"
143,261 E 78th St,-,632,14955,$85.00,Elizabeth Swann,test2@okadaco.com,Jon Snow,George Cooper Sr.,George Russell,"$1,271,175","$105,931","$228,812"
144,13 E 16th St,-,684,18503,$86.00,Hector Barbossa,test2@okadaco.com,Jorah Mormont,Meemaw,Sergio Perez,"$1,591,258","$132,605","$286,426"
145,21-23 W 39th St,-,1031,13041,$106.00,Tia Dalma,test2@okadaco.com,Tyrion Lannister,Dr. Sturgis,Fernando Alonso,"$1,382,346","$115,196","$248,822"
146,111 W 24th St,P GRND,RETL,9010,$84.00,Davy Jones,test2@okadaco.com,Cersei Lannister,Georgie Cooper,Fernando Alonso,"$756,840","$63,070","$136,231"
147,111 W 24th St,E4,400,16242,$89.00,Will Turner,test2@okadaco.com,Jon Snow,Dr. Sturgis,Lewis Hamilton,"$1,445,538","$120,462","$260,197"
148,111 W 24th St,E5,501,10001,$95.00,Elizabeth Swann,test2@okadaco.com,Cersei Lannister,Pastor Jeff,Sergio Perez,"$950,095","$79,175","$171,017"
149,111 W 24th St,E7,700,18427,$89.00,James Norrington,test2@okadaco.com,Daenerys Targaryen,Georgie Cooper,Daniel Ricciardo,"$1,640,003","$136,667","$295,201"
150,315 W 35th St,E4,400,9351,$89.00,Bootstrap Bill,test2@okadaco.com,Bran Stark,Sheldon Cooper,Sergio Perez,"$832,239","$69,353","$149,803"
151,315 W 35th St,E5,503,11809,$90.00,Tia Dalma,test2@okadaco.com,Cersei Lannister,Meemaw,Charles Leclerc,"$1,062,810","$88,568","$191,306"
152,315 W 35th St,E7,700,11842,$94.00,Jack Sparrow,test2@okadaco.com,Sansa Stark,Sheldon Cooper,Lewis Hamilton,"$1,113,148","$92,762","$200,367"
153,315 W 35th St,E8,8000,10263,$107.00,Cutler Beckett,test2@okadaco.com,Cersei Lannister,Brenda Sparks,Lando Norris,"$1,098,141","$91,512","$197,665"
154,315 W 35th St,E9,9000,12809,$101.00,James Norrington,test2@okadaco.com,Cersei Lannister,Pastor Jeff,Lando Norris,"$1,293,709","$107,809","$232,868"
155,315 W 35th St,E10,1000,11287,$97.00,Jack Sparrow,test2@okadaco.com,The Hound,Meemaw,Lando Norris,"$1,094,839","$91,237","$197,071"
156,25 W 39th St,P2,200,13740,$95.00,Jack Sparrow,test2@okadaco.com,Daenerys Targaryen,Meemaw,George Russell,"$1,305,300","$108,775","$234,954"
157,25 W 39th St,P3,300,16282,$80.00,Hector Barbossa,test2@okadaco.com,Jaime Lannister,Meemaw,Daniel Ricciardo,"$1,302,560","$108,547","$234,461"
158,1162 Broadway,E4,400,14676,$100.00,Jack Sparrow,test2@okadaco.com,The Hound,George Cooper Sr.,Sergio Perez,"$1,467,600","$122,300","$264,168"
